Year,Day,Time,AdjDate,AirTemp,Humidity,Dewpoint,VaporP,VaporPD,BarometricP,WindSpeed,WindDir,SD,MaxWind,Pan,SR,TSR,PAR,Rain,Rain2,SR1,SR24
2011,1,15,0.010420000000000096,15.43,75.74,11.18,1.327,0.425,102.01,3.752,124.2,13.24,7.472,27.23,0,0,0,0,0,0,0
2011,1,30,0.020829999999999904,15.09,77.19,11.14,1.323,0.391,102,3.246,126.2,15.86,6.673,27.23,0,0,0,0,0,0,0
2011,1,45,0.03125,14.91,78.42,11.21,1.329,0.366,101.98,3.292,121.7,13.58,5.874,27.23,0,0,0,0,0,0,0
2011,1,100,0.041670000000000096,14.89,78.86,11.26,1.334,0.358,101.94,3.898,121.7,13.92,7.472,27.23,0,0,0,0,0,0,0
2011,1,115,0.052079999999999904,14.81,79.13,11.24,1.332,0.351,101.9,3.767,128.4,17.95,6.673,27.23,0,0,0,0,0,0,0
2011,1,130,0.0625,14.8,79.26,11.26,1.334,0.349,101.88,4.018,139.2,18.16,7.472,27.23,0,0,0,0,0,0,0
2011,1,145,0.0729200000000001,14.79,79.56,11.31,1.338,0.344,101.9,3.41,143.7,18.22,6.673,27.23,0,0,0,0,0,0,0
2011,1,200,0.0833299999999999,14.7,80.3,11.35,1.342,0.329,101.9,3.859,138.5,18.08,8.27,27.23,0,0,0,0,0,0,0
2011,1,215,0.09375,14.53,81.4,11.39,1.345,0.308,101.89,3.997,134.3,13.92,6.673,27.23,0,0,0,0,0,0,0
2011,1,230,0.1041700000000001,14.41,82,11.4,1.346,0.295,101.85,4.096,135.3,15.79,6.673,27.23,0,0,0,0,0,0,0
2011,1,245,0.1145799999999999,14.26,82.8,11.39,1.345,0.28,101.82,4.467,143,14.82,7.472,27.23,0,0,0,0,0,0,0
2011,1,300,0.125,14.11,83.3,11.34,1.341,0.269,101.82,3.931,146.2,15.56,6.673,27.23,0,0,0,0,0,0,0
2011,1,315,0.1354200000000001,13.94,84.1,11.31,1.338,0.253,101.82,3.59,141.6,17.63,5.874,27.23,0,0,0,0,0,0,0
2011,1,330,0.1458299999999999,13.89,84.7,11.36,1.343,0.243,101.86,3.352,150.8,19.6,6.673,27.23,0,0,0,0,0,0,0
2011,1,345,0.15625,13.94,84.6,11.41,1.347,0.245,101.88,3.197,143.6,19.72,5.874,27.23,0,0,0,0,0,0,0
2011,1,400,0.1666700000000001,13.91,85,11.44,1.35,0.238,101.92,2.469,141.7,15.88,5.075,27.23,0,0,0,0,0,0,0
2011,1,415,0.1770799999999999,13.91,85,11.44,1.35,0.238,101.92,2.678,141.5,15.53,5.075,27.23,0,0,0,0,0,0,0
2011,1,430,0.1875,13.8,85.5,11.42,1.348,0.229,101.88,2.842,141,13.26,5.075,27.23,0,0,0,0,0,0,0
2011,1,445,0.1979200000000001,13.64,86.2,11.39,1.345,0.215,101.82,3.791,131.2,13.9,7.472,27.23,0,0,0,0,0,0,0
2011,1,500,0.2083299999999999,13.56,86.6,11.38,1.344,0.208,101.82,3.321,134.8,12.67,5.874,27.23,0,0,0,0,0,0,0
2011,1,515,0.21875,13.7,86.4,11.48,1.353,0.214,101.85,3.622,142.4,15.18,6.673,27.23,0,0,0,0,0,0,0
2011,1,530,0.2291700000000001,13.93,85.4,11.53,1.358,0.232,101.88,3.04,150.8,18.69,5.874,27.23,0,0,0,0,0,0,0
2011,1,545,0.2395799999999999,14.09,84.7,11.55,1.36,0.246,101.86,3.888,150.9,16.69,7.472,27.23,0,0,0,0,0,0,0
2011,1,600,0.25,14.25,84,11.59,1.363,0.26,101.88,3.599,154.5,17.47,6.673,27.23,0,0,0,0,0,0,0
2011,1,615,0.2604200000000001,14.27,83.9,11.6,1.364,0.262,101.91,2.961,161.9,22.46,6.673,27.23,0,0,0,0,0,0,0
2011,1,630,0.2708299999999999,14.38,83.5,11.64,1.368,0.27,101.93,2.556,163.7,23.61,5.075,27.23,0,0,0,0,0,1.16,0
2011,1,645,0.28125,14.56,82.9,11.7,1.373,0.283,101.92,3.578,162.8,22.55,7.472,27.23,0,0,0,0,0,3.79,0
2011,1,700,0.2916700000000001,14.57,82.8,11.69,1.372,0.285,101.87,5.048,146.4,16.26,9.07,27.23,0,0,0,0,0,19.58,0
2011,1,715,0.3020799999999999,14.49,83.2,11.7,1.373,0.277,101.78,6.118,140.8,14.48,11.47,27.61,0,0,0,0,0,34.2,0
2011,1,730,0.3125,14.43,83.7,11.72,1.375,0.268,101.73,5.695,148.2,16.23,13.07,27.72,1.16,1.04,0.81,0,0,29.04,0
2011,1,745,0.3229200000000001,14.5,83.5,11.74,1.377,0.272,101.8,3.418,167.3,24.07,7.472,27.72,3.79,3.41,6.2,0,0,37.56,1.3
2011,1,800,0.3333299999999999,14.61,83.1,11.8,1.382,0.28,101.81,3.937,168.5,23.21,8.27,27.72,19.58,17.62,27.05,0,0,96.9,4.1
2011,1,815,0.34375,14.82,82.4,11.86,1.388,0.296,101.81,3.914,171.4,23.34,7.472,27.72,34.2,30.78,50.52,0,0,73.67,27.05
2011,1,830,0.3541700000000001,14.99,81.6,11.9,1.391,0.313,101.82,3.478,172.6,23.68,9.07,27.72,29.04,26.14,52.2,0,0,132.7,35.08
